,accuracy,f1,precision,recall,beats_baseline,improvement,error
Ridge Classifier,0.6422250316055625,0.6314829238140036,0.6573474683420703,0.6422250316055625,True,0.001925031605562566,
Linear SVC,0.640960809102402,0.6291656377596435,0.6576460406476479,0.640960809102402,True,0.0006608091024020712,
Random Forest,0.6327433628318584,0.6186296152376245,0.6604090458156195,0.6327433628318584,False,-0.007556637168141589,
Bernoulli NB,0.6327433628318584,0.6239111675988981,0.6499599028046733,0.6327433628318584,False,-0.007556637168141589,
Gradient Boosting,0.622629582806574,0.5952212068944756,0.6614156031561389,0.622629582806574,False,-0.01767041719342599,
Decision Tree,0.618204804045512,0.5804109806725506,0.6943390482221671,0.618204804045512,False,-0.022095195954487945,
AdaBoost,0.6118836915297092,0.5723527099919569,0.6683638979277752,0.6118836915297092,False,-0.028416308470290752,
SVM (RBF),0,0,0,0,False,-0.6403,"The saved sklearn model references untrusted types. If you are sure loading these types is safe, set the 'skops_trusted_types' parameter when calling 'log_model' or 'save_model' to the list of trusted types. Root error: Untrusted types found in the file: ['scipy.sparse._csr.csr_matrix']."
SVM (Poly),0,0,0,0,False,-0.6403,"The saved sklearn model references untrusted types. If you are sure loading these types is safe, set the 'skops_trusted_types' parameter when calling 'log_model' or 'save_model' to the list of trusted types. Root error: Untrusted types found in the file: ['scipy.sparse._csr.csr_matrix']."
KNN,0,0,0,0,False,-0.6403,"The saved sklearn model references untrusted types. If you are sure loading these types is safe, set the 'skops_trusted_types' parameter when calling 'log_model' or 'save_model' to the list of trusted types. Root error: Untrusted types found in the file: ['scipy.sparse._csr.csr_matrix']."
MLP,0,0,0,0,False,-0.6403,"The saved sklearn model references untrusted types. If you are sure loading these types is safe, set the 'skops_trusted_types' parameter when calling 'log_model' or 'save_model' to the list of trusted types. Root error: Untrusted types found in the file: ['sklearn.neural_network._stochastic_optimizers.AdamOptimizer']."
